1위,Belgium
2위,France
3위,Brazil
4위,England
5위,Uruguay
6위,Croatia
7위,Portugal
8위,Spain
9위,Argentina
10위,Colombia
11위,Mexico
12위,Switzerland
13위,Italy
14위,Netherlands
15위,Germany
16위,Denmark
17위,Chile
17위,Sweden
19위,Poland
20위,Senegal
21위,Peru
22위,USA
22위,Wales
24위,Ukraine
25위,Venezuela
26위,Austria
27위,Tunisia
28위,Japan
29위,Turkey
29위,Serbia
31위,Nigeria
32위,Slovakia
33위,IR Iran
34위,Republic of Ireland
35위,Algeria
36위,Northern Ireland
37위,Romania
38위,Russia
39위,Iceland
40위,Paraguay
41위,Korea Republic
